Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist,Data Set Contact
164220,2/3/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.7,,,,,2006.01,,Level 0,VL-VB-4-194,10.345073,-84.05731894,Derived,10,36.82,17.31,194,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164221,2/3/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.6,,,,,2006.01,,Level 0,VL-VB-4-262,10.34513919,-84.05750303,Derived,12,40.15,38.5,262,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164222,2/5/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.8,,,,,2006.01,,Level 0,VL-VB-4-286,10.34526243,-84.05751784,Derived,13,53.22,42.7,286,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164223,2/5/2006,Unknown,Unknown,unknown,Marcos Molina,10.9,,,,,2006.01,,Level 0,VL-VB-4-315,10.34535882,-84.05782306,Derived,14,57.29,77.55,315,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164224,2/5/2006,Dichapetalaceae,Dichapetalum,axillare,Marcos Molina,12.2,,,,,2006.01,,Level 0,VL-VB-4-321,10.34523366,-84.0578303,Derived,14,43.55,75.68,321,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164225,2/5/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.4,,,,,2006.01,,Level 0,VL-VB-4-357,10.34551643,-84.05798925,Derived,16,70.92,98.75,357,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164226,2/3/2006,Unknown,Unknown,unknown,Marcos Molina,13.5,,,,,2006.01,,Level 0,VL-VB-4-442,10.34547619,-84.05744563,Derived,19,77.94,39.46,442,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164227,2/3/2006,Unknown,Unknown,unknown,Marcos Molina,10.3,,,,,2006.01,,Level 0,VL-VB-4-503,10.34535404,-84.0571133,Derived,20,71.64,1.15,503,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164228,2/3/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,15.8,,,,,2006.01,,Level 0,VL-VB-4-582,10.34564214,-84.05752329,Derived,23,94.33,51.32,582,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164229,2/3/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.7,,,,,2006.01,,Level 0,VL-VB-4-587,10.34555381,-84.0576178,Derived,23,82.76,59.61,587,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
